Overview,Series_Title,Released_Year
"Dos hombres encarcelados se unen durante varios años, encontrando consuelo y eventual redención a través de actos de decencia común.",The Shawshank Redemption,1994
El viejo patriarca de una dinastía del crimen organizado transfiere el control de su imperio clandestino a su hijo renuente.,The Godfather,1972
"Cuando la amenaza conocida como Joker causa estragos y caos en la gente de Gotham, Batman debe aceptar una de las mayores pruebas psicológicas y físicas de su capacidad para luchar contra la injusticia.",The Dark Knight,2008
"La vida temprana y la carrera de Vito Corleone en la ciudad de Nueva York de la década de 1920 se retrata, mientras que su hijo, Michael, expande y aprieta su control sobre el sindicato del crimen familiar.",The Godfather: Part II,1974
Un jurado Holdout intenta evitar un aborto espontáneo de la justicia al obligar a sus colegas a reconsiderar la evidencia.,12 Angry Men,1957
Gandalf y Aragorn lideran el mundo de los hombres contra el ejército de Sauron para sacar su mirada de Frodo y Sam mientras se acercan a Mount Doom con el único anillo.,The Lord of the Rings: The Return of the King,2003
"La vida de dos éxito de la mafia, un boxeador, un gángster y su esposa, y un par de bandidos se entrelazan en cuatro cuentos de violencia y redención.",Pulp Fiction,1994
"En Polonia ocupada por alemán durante la Segunda Guerra Mundial, el industrial Oskar Schindler gradualmente se preocupa por su fuerza laboral judía después de presenciar su persecución por parte de los nazis.",Schindler's List,1993
Un ladrón que roba secretos corporativos mediante el uso de la tecnología de intercambio de sueños tiene la tarea inversa de plantar una idea en la mente de un C.E.O.,Inception,2010
Un hobbit manso de la Comarca y ocho compañeros emprendieron un viaje para destruir el poderoso anillo y salvar a la Tierra Media del Señor Oscuro Sauron.,The Lord of the Rings: The Fellowship of the Ring,2001
"Las presidencias de Kennedy y Johnson, los eventos de Vietnam, Watergate y otros eventos históricos se desarrollan a través de la perspectiva de un hombre de Alabama con un coeficiente intelectual de 75 años, cuyo único deseo es reunirse con su amor de la infancia.",Forrest Gump,1994
Una estafa de caza de recompensas se une a dos hombres en una alianza incómoda contra una tercera en una carrera para encontrar una fortuna en oro enterrada en un cementerio remoto.,"Il buono, il brutto, il cattivo",1966
"Un trabajador de oficinas insomníaco y un fabricante de jabones de diablo, a menos de cuidado, forman un club de lucha subterráneo que evoluciona a algo mucho, mucho más.",Fight Club,1999
"Mientras Frodo y Sam se acercan a Mordor con la ayuda del Gollum Shifty, la beca dividida pone una posición contra el nuevo aliado de Sauron, Saruman y sus hordas de Isengard.",The Lord of the Rings: The Two Towers,2002
"Cuando un hermoso extraño lleva al pirata informático Neo a un inframundo prohibitivo, descubre la verdad impactante: la vida que sabe es el elaborado engaño de una malvada inteligencia cibernética.",The Matrix,1999
